"","Region","Total_Spanish_Bilangual","Total_Asian_Pacific_Bilangual","Total_IndoEuro_Bilangual","Total_Other_Bilangual","Total_Population_5_Years_Over","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"1","Alamo",308610.563553791,10352.0391507556,13500.9072750367,1839.09986151899,1133322.49300078,0.272,0.009,0.012,0.002
"2","Capitol",79318.9412654958,13596.8451510362,13886.4132159208,936.285314182704,644975.906669316,0.123,0.021,0.022,0.001
"3","Central Texas",14347.8349019445,1952.45386717342,2672.6837797842,102.462410844344,165114.935806961,0.087,0.012,0.016,0.001
"4","Gulf Coast",432764.979444101,56879.808660622,56877.3995167692,8039.94298975549,2637386.28763885,0.164,0.022,0.022,0.003
"5","High Plains",16857.1681708094,916.510647215552,1054.06349253431,166.018303770631,123858.114364714,0.136,0.007,0.009,0.001
"6","Metroplex",188718.281117144,25726.3652214395,25201.9734089028,4650.20532514007,1375068.82626419,0.137,0.019,0.018,0.003
"7","Northwest",4732.86667746765,339.774139711379,472.126088475675,79.4698740384034,66153.3014684784,0.072,0.005,0.007,0.001
"8","South Texas",175319.150668522,1721.71322020357,1110.80879368887,49.5964751720152,382433.860509209,0.458,0.005,0.003,0
"9","Southeast",7635.36342010571,1127.81687563557,1427.82825019277,60.9855328148223,110479.260359047,0.069,0.01,0.013,0.001
"10","State",3937818,320472,348270,41262,23280055,0.169,0.014,0.015,0.002
"11","Upper East",5424.60744749992,304.43660744075,512.93083624063,26.9145467028464,83447.9918942843,0.065,0.004,0.006,0
"12","Upper Rio Grande",296079.56782117,2849.45492272637,5006.23035541785,349.910196007628,713083.737986576,0.415,0.004,0.007,0
"13","West Texas",17566.4825607514,333.835996692979,593.954609631886,39.8010672314273,84976.6957541026,0.207,0.004,0.007,0
