"","Region","Spanish","Asian_Pacific_Island_Languages","Other_Indo_European_Language","Other_Language"
"1","Alamo",-3.4,0.2,-0.1,0.2
"2","Capitol",0.4,0.4,0.5,0.9
"3","Central Texas",0.900000000000001,0.2,-0.1,0.4
"4","Gulf Coast",2.4,0.2,0.3,0.9
"5","High Plains",-0.4,0.3,-0.2,0.5
"6","Metroplex",1.5,0.7,0.7,1.1
"7","Northwest",1.9,0.4,0.1,0.3
"8","South Texas",1,0,0,0.1
"9","Southeast",2.8,0.0999999999999999,-0.4,0.1
"10","Upper East",1.4,0.1,-0.1,0.3
"11","Upper Rio Grande",-2.2,0.1,-0.1,0.2
"12","West Texas",3.5,0.2,-0.1,0.5
