"","Educational_Level","Bilingual_Status","median_income_Asian/Pacific Islander Languages","median_income_Other Indo-European Languages","median_income_Other Languages","median_income_Spanish","se_median_income_Asian/Pacific Islander Languages","se_median_income_Other Indo-European Languages","se_median_income_Other Languages","se_median_income_Spanish"
"1","Bachelor's","Bilingual",59450,70000,47230.7021276596,54046,1360.50457395007,1137.45222236361,1723.93165575089,519.103579344493
"2","Doctoral","Bilingual",102239,101154.615384615,81973.9047619048,81068,4196.67982525025,4620.74851567832,6719.67577147723,4290.64181798498
"3","High School or GED","Bilingual",28074.2986111111,28705,28057,30000,793.126495099486,652.885413350543,1161.52095157808,197.445025434735
"4","Master's & Professional Degree Beyond Bachelor's","Bilingual",84172,104652.526315789,78961.25,69400.5116959064,2549.83121728956,1557.83904932935,4069.01906373625,551.443998608304
"5","No High School Degree or GED","Bilingual",31698.5212765957,29904.8333333333,25000,28329,1638.23128348863,1637.34832754239,2468.81766056403,179.836879693894
"6","No Schooling Completed","Bilingual",30018.1363636364,30419.4117647059,33795.2432432432,30255,1540.68146876801,2667.98229282703,5119.18971194603,834.255816721332
"7","Some College, No Degree","Bilingual",30000,34447,30000,32427,1123.23304141761,1190.45120536222,1639.93433716957,190.812954943151
"8","Bachelor's","NE Monolingual",35186.6666666667,27509.3214285714,29785.7142857143,28817.4736842105,3683.45676462664,3352.44014815679,5400.1358137755,1021.43648652162
"9","Doctoral","NE Monolingual",55956.1696428571,66093.0453074434,NA,44053.5,18131.4415663415,8180.60956503155,NA,21015.4019665506
"10","High School or GED","NE Monolingual",24113,22643.1386554622,21388.5,27023,1261.42101427922,2586.84762559887,3238.77745506407,360.647683191699
"11","Master's & Professional Degree Beyond Bachelor's","NE Monolingual",35967.3837209302,49720.1818181818,64088.28,37803.8666666667,8282.68042056643,11724.5220359672,8860.43490858261,2294.79663467649
"12","No High School Degree or GED","NE Monolingual",24929,21043,24113,24753,1117.66830463744,2963.42824838437,2824.60954911794,255.08142345833
"13","No Schooling Completed","NE Monolingual",26891.2941176471,24153.8461538462,17616.6661442006,25000,1579.77098297976,4249.33320029385,3209.06836372945,731.300178695184
"14","Some College, No Degree","NE Monolingual",23941.93,29887.3333333333,26995.3888888889,28104,1745.57627632705,2377.52660888037,9977.11236119962,517.87708691516
