"","Occupation_Label","Bilingual_StatusBilingual","Bilingual_StatusEnglish Monolingual","Bilingual_StatusNE Monolingual","se.Bilingual_StatusBilingual","se.Bilingual_StatusEnglish Monolingual","se.Bilingual_StatusNE Monolingual"
"Computer, Engineering, and Science Occupations","Computer, Engineering, and Science Occupations",310338,270020,10024,3920.75452666769,3509.1144186346,685.67595154544
"Construction and Extraction Occupations","Construction and Extraction Occupations",381991,175659,249296,4654.03957042429,2944.11438725957,3791.63484519711
"Education, Legal, Community Service, Arts, and Media Occupations","Education, Legal, Community Service, Arts, and Media Occupations",409112,495074,24293,4438.5301889962,4780.10668136946,1190.52695931864
"Farming, Fishing, and Forestry Occupations","Farming, Fishing, and Forestry Occupations",19874,11931,13232,1021.38794934265,650.485609613771,763.576410368705
"Healthcare Practitioners and Technical Occupations","Healthcare Practitioners and Technical Occupations",235598,238198,8428,3510.41416756516,3268.07957850442,559.664968919104
"Installation, Maintenance, and Repair Occupations","Installation, Maintenance, and Repair Occupations",163876,138962,41373,2896.30285286911,2636.29320017983,1548.47788531268
"Management, Business, and Financial Occupations","Management, Business, and Financial Occupations",594016,755261,42514,5664.95983028893,5882.2195333564,1436.66077909323
"Military Occupations","Military Occupations",11653,22567,351,731.097960956357,1009.02726256245,121.444342670732
"Office and Administrative Support Occupations","Office and Administrative Support Occupations",496361,501670,36732,4960.97847643487,5003.09869752628,1316.00265438896
"Production Occupations","Production Occupations",252048,175879,108104,3627.61603698126,2975.02441658795,2355.44933271588
"Sales and Related Occupations","Sales and Related Occupations",492851,477172,55126,5099.64443474216,4863.00826706835,1657.55893135281
"Service Occupations","Service Occupations",868213,682933,350646,6733.14839105711,5714.45797925572,4297.71439358933
"Transportation and Material Moving Occupations","Transportation and Material Moving Occupations",396180,339922,103359,4760.25450953734,4256.82728972046,2351.75246242939
